Titel,Reward,Program_link,Short_Description,Is_Safe_harbor,User,Vulnearbilities_rewarded,Validation_within,Average_payout,P1_iOS_Android_API,P1_Web,P2_iOS_Android_API,P2_Web,P3_iOS_Android_API,P3_Web,P4_iOS_Android_API,P4_Web,Hall_of_famers,Num_Hacks,Scope_Target_Mobile_API,Scope_Target_Web_Targets,Cash_Out,Technology,Focus_areas
Ibotta,"$50 - $5,000",https://bugcrowd.com/ibotta,Mobile app providing cash back for users through in-app purch…,True,,"
68
","
3 days
","
$800
","$5,000","$1,500","$2,250",$900,$750,$300,$250,$100, 470,1152 ,"P1
$2251 – $5000
P2
$901 – $2250
P3
$301 – $750
P4
$101 – $250","P1
$901 – $1500
P2
$751 – $900
P3
$251 – $300
P4
$50 – $100","
Paypal, Venmo, and giftcard cashout methods are live.  Because of this, accounts will not be funded again.
Cashout thresholds are reduced for the bugcrowd provisioned accounts to facilitate testing.
SMS authentication is enabled for all accounts. Because of fraud scoring, VoIP numbers (Google Voice, etc) may be blocked.
Critical requests are rate-limited and geoip filtered. Requests from outside the US are not likely to be allowed.
","
The mobile apps are both native
Servers are Ruby/Rails on Ubuntu 
Hosted on AWS, API endpoints behind Elastic LoadBalancer 
Infrastructure includes Memcache, Redis and MySQL
","
Any ability for an attacker to sniff Grocery retailers credentials entered into Ibotta.
All phone logs, especially exceptions, need to be verified to not include credentials.
Check for plaintext customer sensitive information sent to 3rd party from our endpoints.
Input validation for database access for protection against injection.
Test the restriction of HTTP methods to those we are in control of, or any attack vector against our endpoints.
2FA bypass and/or compromising account integrity.
Cashout threshold and value manipulation.
"
Step Public Applications,"$200 - $10,000",https://bugcrowd.com/step-public,Step’s mission is to equip younger generations with the tools…,True,,"
12
","
3 days
","
$1,000
",,,,,,,,,View the hall,88 ,"P1
$10000
P2
$5000
P3
$600
P4
$200",,,,
Registrar.gov: Bug Bounty Program,"$100 - $3,500",https://bugcrowd.com/registrar-dotgov,"This is the .gov registrar, where .gov domains are managed. ",,,"
1
","
5 days
",,,,,,,,,,View the hall,22 ,"P1
$3000 – $3500
P2
$1000 – $1250
P3
$200 – $250
P4
$100 – $150",,,,
Verisign,"$100 - $10,000",https://bugcrowd.com/verisign,Verisign, Partial safe harbor,Solo-Only,"
48
","
$500
",,,,,,,,,, 50,155 ,"P1
$5000 – $10000
P2
$1250 – $2500
P3
$250 – $500
P4
$100 – $150","P1
$3000 – $3500
P2
$1000 – $1250
P3
$200 – $250
P4
$100 – $150","
Denial of service attacks Username / email enumeration by brute forcing / error messages (e.g. login / signup/ forgotten password)


Exceptional cases may still be in scope (e.g. ability to enumerate email addresses via incrementing anumeric parameter) 


Spamming/social engineering/phishing attacks


Includes email spoofing Email spoofing (including SPF, DKIM, From: spoofing, and visually similar, and related issues) 


Open redirects (through headers and parameters)
Lack of security speedbump when leaving the site 
Internal IP address disclosure 
Accessible Non-sensitive files and directories (e.g. README.TXT, CHANGES.TXT, robots.txt, gitignore, etc.) 
Self XSS 
Text injection 
Fingerprinting/banner disclosure on common/public services 
Clickjacking and issues only exploitable through clickjacking 
Lack of Secure and HTTPOnly cookie flags (critical systems may still be in scope) 
HTTPS mixed content scripts 
Missing HTTP security headers.
TLS/SSL Issues, including BEAST BREACH, insecure renegotiation, bad cipher suite, expired certificates.
",,
Indeed,"$50 - $10,000",https://bugcrowd.com/indeed,We help people get jobs.,True,,"
1623
","
2 days
","
$912.71
",,,,,,,,, 1487,3741 ,"P1
$4000 – $10000
P2
$1000 – $4000
P3
$200 – $1000
P4
$50 – $200","P1
$2000 – $4000
P2
$800 – $2000
P3
$200 – $800
P4
$50 – $200","

An attack scenario: what is the most likely way an attacker actually abuses said vulnerability.

Clear reproduction steps: if we can't easily reproduce what you are describing, we may not consider the issue as serious.

Recommended fix: if you have any good ideas on ways to mitigate the risk without impacting normal users, your submission will have more value.
","
Logout Cross-Site Request Forgery (logout CSRF).
Presence of application or web browser ‘autocomplete’ or ‘save password’
",
LifterLMS,,https://bugcrowd.com/lifterlms,Submit your bugs to LifterLMS,True,Solo-Only,"
15
","
1 day
",,,,,,,,,, 23,38 ,,,"
When testing and researching LifterLMS plugins, setup a local environment in favor of performing tests against a production website.
When interacting with our production websites, do so only on accounts you own.
Absolutely no attacks or exploits against accounts not created by you.
Cross-account access may only attempted between accounts controlled by you.
Notify us as soon as early as possible when you have discovered a qualifying issue or vulnerability.
Be patient. Give us a reasonable amount of time to correct the issue before disclosing it publicly.
Comply with all applicable laws.
","
Do not create bots to automate form submissions or manually create a large number of spam or junk form submissions. Doing so unnecessarily creates excess cleanup work for our team.
Do not violate the privacy of our users or customers.
Do not destroy or modify data on production websites.
Do not use or provide output from automated scanners. Please manually verify issues and include a valid proof of concept.

",
Telstra VDP,,https://bugcrowd.com/telstra-vdp,Submit your finding to Telstra's Vulnerability Disclosure Pro…, Partial safe harbor,Solo-Only,"
9
","
3 days
",,,,,,,,,, 13,46 ,,,,,
ThousandEyes Bug Bounty,"$200 - $4,500",https://bugcrowd.com/thousandeyes-og,Network Intelligence Software,,Solo-Only,"
41
","
5 days
","
$952.38
",,,,,,,,, 44,138 ,"P1
$4100 – $4500
P2
$1500 – $1750
P3
$600 – $850
P4
$200 – $250",,,,
Professional Counselling Provider,"$500 - $20,000",https://bugcrowd.com/programs/teasers/dKZe19MnPivPJUoEgw3f5f4S,Help us care for our patients more securely by testing our Mo…,True,,,,,,,,,,,,,,,,,,,
Leading Financial company needs your help!,"$300 - $10,000",https://bugcrowd.com/programs/teasers/red-moon-8769,We're looking for high quality researchers to help secure our…,,,,,,,,,,,,,,,,,,,,
