Program Name,Reward Range,Program URL
Ibotta,"$50 - $5,000",/ibotta
Step Public Applications,"$200 - $10,000",/step-public
Registrar.gov: Bug Bounty Program,"$100 - $3,500",/registrar-dotgov
Verisign,"$100 - $10,000",/verisign
Indeed,"$50 - $10,000",/indeed
LifterLMS,"$200 - $4,500",/lifterlms
Telstra VDP,"$500 - $20,000",/telstra-vdp
ThousandEyes Bug Bounty,"$300 - $10,000",/thousandeyes-og
Professional Counselling Provider,"$50 - $2,500",/programs/teasers/dKZe19MnPivPJUoEgw3f5f4S
Leading Financial company needs your help!,"Points - $5,000",/programs/teasers/red-moon-8769
An electronics retailer would like your help!,"Up to $10,000",/programs/teasers/eQTUitf7a1btxJGEXtAWMtYd
Rarible,"$75 - $1,250",/rarible-ogmbb
Blackbaud Vulnerability Disclosure Program,"$75 - $1,250",/blackbaud-vdp
NiceHash,"$150 - $3,000",/nicehash-og
StackPath,"$20 - $6,250",/stackpath
HostGator VDP,"$150 - $2,500",/hostgator-vdp
